2026-04-09 20:04:56,461 | Qustionaire | user_id=None | request_id=eb938046-b346-46e7-9a9f-97092153a34a | [INFO] | [main.py- 88] | 新用户 ggg 进行注册
2026-04-09 20:05:14,768 | Qustionaire | user_id=ggg | request_id=d98821ac-b1de-4f85-928a-f0fe1452d4ce | [INFO] | [main.py- 154] | 页面1的数据：{'src_image_name': '1.png', 'des_image_name': '1.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 68651, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:18,591 | Qustionaire | user_id=ggg | request_id=1b0e95d5-f0cf-4645-9a41-189e8f44b587 | [INFO] | [main.py- 178] | 更新用户ggg页面1的时间: 72396
2026-04-09 20:05:18,614 | Qustionaire | user_id=ggg | request_id=63d8f3a3-ef92-4f5f-9d13-7fdd333fdc7c | [INFO] | [main.py- 178] | 更新用户ggg页面1的时间: 72396
2026-04-09 20:05:18,825 | Qustionaire | user_id=ggg | request_id=3105473c-9430-4e6e-988b-24209503e50c | [INFO] | [main.py- 152] | 请求用户ggg页面6的数据
2026-04-09 20:05:18,828 | Qustionaire | user_id=ggg | request_id=3105473c-9430-4e6e-988b-24209503e50c | [INFO] | [main.py- 154] | 页面6的数据：{'src_image_name': '1.png', 'des_image_name': '1.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 0, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:22,726 | Qustionaire | user_id=ggg | request_id=8cd816b6-e5e7-4788-83c3-c20226703af0 | [INFO] | [main.py- 178] | 更新用户ggg页面6的时间: 7585
2026-04-09 20:05:22,756 | Qustionaire | user_id=ggg | request_id=31c26937-2b62-4873-b7e4-87ea1ab98db3 | [INFO] | [main.py- 178] | 更新用户ggg页面6的时间: 7586
2026-04-09 20:05:22,966 | Qustionaire | user_id=ggg | request_id=218cb580-be6a-48aa-85ce-357f8e22a538 | [INFO] | [main.py- 152] | 请求用户ggg页面5的数据
2026-04-09 20:05:22,981 | Qustionaire | user_id=ggg | request_id=218cb580-be6a-48aa-85ce-357f8e22a538 | [INFO] | [main.py- 154] | 页面5的数据：{'src_image_name': '3.png', 'des_image_name': '3.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 0, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:27,267 | Qustionaire | user_id=ggg | request_id=05d4d82a-7e50-4104-86ef-f35fe469df00 | [INFO] | [main.py- 178] | 更新用户ggg页面5的时间: 4199
2026-04-09 20:05:27,288 | Qustionaire | user_id=ggg | request_id=088be9b2-7dcf-402f-9a37-5951a3cd0d43 | [INFO] | [main.py- 178] | 更新用户ggg页面5的时间: 4200
2026-04-09 20:05:27,543 | Qustionaire | user_id=ggg | request_id=04bd609f-efe5-42ff-9e1c-4e0b8c123620 | [INFO] | [main.py- 152] | 请求用户ggg页面4的数据
2026-04-09 20:05:27,557 | Qustionaire | user_id=ggg | request_id=04bd609f-efe5-42ff-9e1c-4e0b8c123620 | [INFO] | [main.py- 154] | 页面4的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 0, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:31,120 | Qustionaire | user_id=ggg | request_id=5d1ea0e3-3359-45d5-ae52-aff312f000be | [INFO] | [main.py- 178] | 更新用户ggg页面4的时间: 3473
2026-04-09 20:05:31,143 | Qustionaire | user_id=ggg | request_id=a206f7f2-522b-4ada-afae-2a3aedd3debd | [INFO] | [main.py- 178] | 更新用户ggg页面4的时间: 3473
2026-04-09 20:05:31,323 | Qustionaire | user_id=ggg | request_id=5e1b831b-cbd5-44e8-9bfb-46ea1c866814 | [INFO] | [main.py- 152] | 请求用户ggg页面3的数据
2026-04-09 20:05:31,325 | Qustionaire | user_id=ggg | request_id=5e1b831b-cbd5-44e8-9bfb-46ea1c866814 | [INFO] | [main.py- 154] | 页面3的数据：{'src_image_name': '3.png', 'des_image_name': '3.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 0, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:35,651 | Qustionaire | user_id=ggg | request_id=29bd4a75-8b71-4f13-99e3-93f6efe03c87 | [INFO] | [main.py- 178] | 更新用户ggg页面3的时间: 7747
2026-04-09 20:05:35,683 | Qustionaire | user_id=ggg | request_id=e8350ea0-cddd-45e1-a39c-08a5042ea219 | [INFO] | [main.py- 178] | 更新用户ggg页面3的时间: 7748
2026-04-09 20:05:35,839 | Qustionaire | user_id=ggg | request_id=f7708e5a-f5fb-428f-ac55-b6473a2f1b45 | [INFO] | [main.py- 152] | 请求用户ggg页面2的数据
2026-04-09 20:05:35,855 | Qustionaire | user_id=ggg | request_id=f7708e5a-f5fb-428f-ac55-b6473a2f1b45 | [INFO] | [main.py- 154] | 页面2的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 3793, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:39,658 | Qustionaire | user_id=ggg | request_id=4ffb2f09-81d7-485a-9ed6-2c14c0793894 | [INFO] | [main.py- 178] | 更新用户ggg页面2的时间: 11796
2026-04-09 20:05:39,682 | Qustionaire | user_id=ggg | request_id=d8d29c6f-7031-45d2-bcd3-99c239eca077 | [INFO] | [main.py- 178] | 更新用户ggg页面2的时间: 11797
2026-04-09 20:05:39,824 | Qustionaire | user_id=ggg | request_id=ca98ea7f-9555-417a-93f9-fa2f3b544bb1 | [INFO] | [main.py- 152] | 请求用户ggg页面1的数据
2026-04-09 20:05:39,839 | Qustionaire | user_id=ggg | request_id=ca98ea7f-9555-417a-93f9-fa2f3b544bb1 | [INFO] | [main.py- 154] | 页面1的数据：{'src_image_name': '1.png', 'des_image_name': '1.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 72396, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:06:36,529 | Qustionaire | user_id=ggg | request_id=f2e26229-5ffb-492d-a603-199786374af2 | [INFO] | [main.py- 178] | 更新用户ggg页面1的时间: 91058
2026-04-09 20:07:27,188 | Qustionaire | user_id=ggg | request_id=868ae2e6-05fc-4152-9fd7-42b93012c342 | [INFO] | [main.py- 88] | 新用户 111 进行注册
2026-04-09 20:07:27,192 | Qustionaire | user_id=ggg | request_id=868ae2e6-05fc-4152-9fd7-42b93012c342 | [INFO] | [main.py- 114] | 新用户 111 注册成功! 机构：HBUT 部门：心超 职称：医学生 经验：0
2026-04-09 20:07:27,301 | Qustionaire | user_id=111 | request_id=36b6a5e6-f7c7-4547-b08c-dc69872ba2cc | [INFO] | [main.py- 152] | 请求用户111页面1的数据
2026-04-09 20:07:27,302 | Qustionaire | user_id=111 | request_id=36b6a5e6-f7c7-4547-b08c-dc69872ba2cc | [INFO] | [main.py- 154] | 页面1的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 0, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:07:39,357 | Qustionaire | user_id=111 | request_id=b3cd8ec7-64a7-4a62-ac37-6249c6a3e5e3 | [INFO] | [main.py- 178] | 更新用户111页面1的时间: 30558
2026-04-09 20:07:39,381 | Qustionaire | user_id=111 | request_id=8730213b-c3b4-4108-a477-656b7a8fcd3a | [INFO] | [main.py- 178] | 更新用户111页面1的时间: 30558
2026-04-09 20:07:39,491 | Qustionaire | user_id=111 | request_id=e321d794-1891-4347-890a-1fd1b9a7629d | [INFO] | [main.py- 152] | 请求用户111页面6的数据
2026-04-09 20:07:39,493 | Qustionaire | user_id=111 | request_id=e321d794-1891-4347-890a-1fd1b9a7629d | [INFO] | [main.py- 154] | 页面6的数据：{'src_image_name': '3.png', 'des_image_name': '3.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 0, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:07:43,609 | Qustionaire | user_id=111 | request_id=7a711430-8def-4773-a557-390bb15cae1a | [INFO] | [main.py- 178] | 更新用户111页面6的时间: 15966
2026-04-09 20:07:43,629 | Qustionaire | user_id=111 | request_id=c8648654-89ad-463e-a056-92c40b825991 | [INFO] | [main.py- 178] | 更新用户111页面6的时间: 15967
2026-04-09 20:07:43,757 | Qustionaire | user_id=111 | request_id=970e955f-2a32-4ae1-9aa9-40f367dd3549 | [INFO] | [main.py- 152] | 请求用户111页面5的数据
2026-04-09 20:07:43,758 | Qustionaire | user_id=111 | request_id=970e955f-2a32-4ae1-9aa9-40f367dd3549 | [INFO] | [main.py- 154] | 页面5的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 0, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:07:48,825 | Qustionaire | user_id=111 | request_id=247c3577-f989-4b3b-a371-6be26a756c32 | [INFO] | [main.py- 178] | 更新用户111页面5的时间: 9067
2026-04-09 20:07:48,845 | Qustionaire | user_id=111 | request_id=4c5b224b-b3cc-4f4d-87e0-28ef5f889874 | [INFO] | [main.py- 178] | 更新用户111页面5的时间: 9068
2026-04-09 20:07:48,982 | Qustionaire | user_id=111 | request_id=994aff73-8fbd-4fd8-887a-bca430a66bed | [INFO] | [main.py- 152] | 请求用户111页面1的数据
2026-04-09 20:07:48,984 | Qustionaire | user_id=111 | request_id=994aff73-8fbd-4fd8-887a-bca430a66bed | [INFO] | [main.py- 154] | 页面1的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 30558, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:07:56,891 | Qustionaire | user_id=111 | request_id=bbdad7c5-7976-4bdb-8316-6c612328dcba | [INFO] | [main.py- 178] | 更新用户111页面1的时间: 43400
2026-04-09 20:07:56,909 | Qustionaire | user_id=111 | request_id=0a1ec0a7-13c9-443f-a026-2f3a122942ff | [INFO] | [main.py- 178] | 更新用户111页面1的时间: 43400
2026-04-09 20:13:26,666 | Qustionaire | user_id=111 | request_id=b3d0ed0c-bf93-4e9a-8010-18a59bcbf2ae | [INFO] | [main.py- 125] | 用户 111 进行登录
2026-04-09 20:13:26,667 | Qustionaire | user_id=111 | request_id=b3d0ed0c-bf93-4e9a-8010-18a59bcbf2ae | [INFO] | [main.py- 135] | 用户 111 登录成功
2026-04-09 20:13:26,805 | Qustionaire | user_id=111 | request_id=a8210aad-2393-4bb6-977c-df9f529b86a1 | [INFO] | [main.py- 152] | 请求用户111页面1的数据
2026-04-09 20:13:26,806 | Qustionaire | user_id=111 | request_id=a8210aad-2393-4bb6-977c-df9f529b86a1 | [INFO] | [main.py- 154] | 页面1的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 43400, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:13:32,382 | Qustionaire | user_id=111 | request_id=96644b90-bd19-4f5c-b8b1-849273e23829 | [INFO] | [main.py- 178] | 更新用户111页面1的时间: 56801
2026-04-09 20:13:32,405 | Qustionaire | user_id=111 | request_id=d67c3fbf-ed58-47a1-a690-ac9a5aae1ab7 | [INFO] | [main.py- 178] | 更新用户111页面1的时间: 56802
2026-04-09 20:13:32,521 | Qustionaire | user_id=111 | request_id=eafefbaa-f544-4294-97ce-f5843cff3db2 | [INFO] | [main.py- 152] | 请求用户111页面6的数据
2026-04-09 20:13:32,522 | Qustionaire | user_id=111 | request_id=eafefbaa-f544-4294-97ce-f5843cff3db2 | [INFO] | [main.py- 154] | 页面6的数据：{'src_image_name': '3.png', 'des_image_name': '3.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 15967, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:13:36,113 | Qustionaire | user_id=111 | request_id=710ee7ae-399b-4e33-a896-a1f8ef3e439f | [INFO] | [main.py- 178] | 更新用户111页面6的时间: 32900
2026-04-09 20:13:36,133 | Qustionaire | user_id=111 | request_id=159dea53-a872-4144-be5c-e4caba188c57 | [INFO] | [main.py- 178] | 更新用户111页面6的时间: 32900
2026-04-09 20:13:36,268 | Qustionaire | user_id=111 | request_id=fedb5bab-181f-4c39-a894-5316a3d72966 | [INFO] | [main.py- 152] | 请求用户111页面5的数据
2026-04-09 20:13:36,271 | Qustionaire | user_id=111 | request_id=fedb5bab-181f-4c39-a894-5316a3d72966 | [INFO] | [main.py- 154] | 页面5的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 9068, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:13:39,789 | Qustionaire | user_id=111 | request_id=6fc32047-59dc-4fcb-885e-a0f1dcd1f1ef | [INFO] | [main.py- 178] | 更新用户111页面5的时间: 12509
2026-04-09 20:13:39,811 | Qustionaire | user_id=111 | request_id=9bd46524-9935-4177-b9e0-65b90fd5812a | [INFO] | [main.py- 178] | 更新用户111页面5的时间: 12510
2026-04-09 20:13:40,018 | Qustionaire | user_id=111 | request_id=c05bcb83-8da2-49a7-b70d-e11c28786af0 | [INFO] | [main.py- 152] | 请求用户111页面4的数据
2026-04-09 20:13:40,020 | Qustionaire | user_id=111 | request_id=c05bcb83-8da2-49a7-b70d-e11c28786af0 | [INFO] | [main.py- 154] | 页面4的数据：{'src_image_name': '1.png', 'des_image_name': '1.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 0, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:13:44,001 | Qustionaire | user_id=111 | request_id=c5f55505-177c-4247-a064-094d20069382 | [INFO] | [main.py- 178] | 更新用户111页面4的时间: 3889
2026-04-09 20:13:44,043 | Qustionaire | user_id=111 | request_id=ed374c79-da3e-4225-9685-83a4a268e93d | [INFO] | [main.py- 178] | 更新用户111页面4的时间: 3890
2026-04-09 20:13:44,211 | Qustionaire | user_id=111 | request_id=af66fe30-c56f-4d58-ae3e-49920467adca | [INFO] | [main.py- 152] | 请求用户111页面3的数据
2026-04-09 20:13:44,212 | Qustionaire | user_id=111 | request_id=af66fe30-c56f-4d58-ae3e-49920467adca | [INFO] | [main.py- 154] | 页面3的数据：{'src_image_name': '1.png', 'des_image_name': '1.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 0, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
